timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 12:06:29.699, 81, 80.24 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:30.700, 79, 80.42 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:31.700, 77, 77.46 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:32.701, 79, 77.66 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:33.702, 83, 76.83 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:34.702, 83, 81.26 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:35.703, 80, 79.77 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:36.703, 77, 77.26 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:37.704, 80, 77.62 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:38.704, 79, 77.10 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:39.705, 77, 81.38 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:40.706, 84, 81.39 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:41.706, 79, 78.14 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:42.707, 79, 77.84 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:43.707, 77, 75.27 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:44.708, 79, 82.02 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:45.708, 77, 82.80 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:46.709, 80, 77.62 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:47.709, 83, 77.20 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:48.710, 81, 77.15 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:49.710, 78, 78.48 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:50.711, 83, 82.40 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:51.711, 80, 78.56 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:52.712, 78, 76.36 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:53.712, 81, 76.75 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:54.713, 78, 76.41 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:55.713, 82, 82.25 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:56.714, 77, 78.42 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:57.714, 74, 52.15 W, 2431 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:06:58.715, 73, 46.13 W, 2431 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:06:59.715, 73, 46.24 W, 2431 MHz, [N/A], 93 %, [N/A]
2026/07/19 12:07:00.716, 73, 46.06 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:07:01.717, 72, 45.81 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:07:02.718, 72, 45.72 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:07:03.718, 72, 45.81 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:07:04.718, 73, 36.92 W, 2418 MHz, [N/A], 16 %, [N/A]
2026/07/19 12:07:05.719, 72, 50.30 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:07:06.719, 71, 46.03 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:07:07.720, 71, 45.88 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:07:08.720, 71, 45.89 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:07:09.721, 69, 39.44 W, 2411 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:07:10.721, 70, 52.14 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:07:11.722, 71, 45.62 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:07:12.723, 71, 45.59 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:07:13.723, 70, 45.81 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:07:14.724, 66, 37.88 W, 2418 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:07:15.725, 73, 53.59 W, 2398 MHz, [N/A], 26 %, [N/A]
2026/07/19 12:07:16.725, 75, 81.66 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:17.726, 73, 80.18 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:18.726, 76, 77.32 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:19.727, 80, 77.88 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:20.727, 75, 75.04 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:21.728, 77, 81.23 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:22.728, 74, 82.27 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:23.728, 80, 78.71 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:24.729, 77, 77.23 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:25.729, 81, 78.73 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:26.730, 75, 77.54 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:27.730, 76, 81.90 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:28.731, 80, 80.67 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:29.731, 78, 77.60 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:30.731, 77, 78.04 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:31.732, 77, 75.69 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:32.732, 79, 81.50 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:33.732, 79, 82.80 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:34.733, 79, 79.04 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:35.734, 77, 78.02 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:36.734, 78, 77.96 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:37.735, 81, 77.62 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:38.735, 76, 82.46 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:39.735, 80, 81.76 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:40.736, 76, 78.61 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:41.736, 79, 77.39 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:42.736, 75, 77.79 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:43.737, 80, 78.53 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:44.737, 79, 82.01 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:45.738, 80, 81.23 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:46.739, 80, 78.06 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:47.739, 79, 77.94 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:48.739, 75, 78.37 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:49.740, 78, 79.18 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:50.740, 82, 82.60 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:51.741, 81, 79.79 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:52.741, 79, 78.04 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:53.742, 82, 78.67 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:54.742, 82, 76.47 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:55.743, 82, 81.55 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:56.743, 82, 82.93 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:57.744, 81, 80.62 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:58.744, 76, 77.67 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:07:59.744, 82, 77.88 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:00.745, 78, 76.60 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:01.745, 79, 82.24 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:02.746, 79, 82.63 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:03.746, 82, 80.49 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:04.747, 82, 78.04 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:05.747, 77, 78.48 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:06.748, 76, 76.61 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:07.748, 79, 80.66 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:08.748, 77, 82.94 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:09.749, 80, 80.39 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:10.749, 80, 77.45 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:11.750, 80, 76.78 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:12.750, 81, 77.95 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:13.751, 77, 78.94 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:14.751, 78, 83.08 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:15.751, 77, 80.79 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:16.752, 80, 77.52 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:17.752, 78, 78.18 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:08:18.752, 74, 59.54 W, 2424 MHz, [N/A], 95 %, [N/A]
