timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 10:44:08.883, 81, 78.93 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:09.883, 80, 78.54 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:10.883, 80, 77.07 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:11.884, 78, 77.98 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:12.885, 80, 81.04 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:13.886, 81, 78.96 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:14.886, 82, 78.53 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:15.887, 77, 77.62 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:16.888, 82, 77.85 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:17.888, 79, 82.54 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:18.888, 78, 78.98 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:19.889, 80, 77.97 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:20.889, 82, 77.56 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:21.890, 78, 78.19 W, 2392 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:22.891, 82, 81.65 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:23.891, 79, 80.47 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:24.892, 77, 77.94 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:25.892, 80, 77.71 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:26.892, 79, 76.20 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:27.893, 82, 82.22 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:28.894, 81, 82.09 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:29.894, 81, 78.16 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:30.895, 84, 78.54 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:31.895, 77, 76.60 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:32.895, 78, 81.43 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:33.895, 78, 81.73 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:34.896, 82, 78.55 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:35.896, 81, 76.88 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:36.897, 82, 76.31 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:37.898, 79, 77.43 W, 2385 MHz, [N/A], 77 %, [N/A]
2026/07/19 10:44:38.898, 78, 81.60 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:39.899, 83, 75.83 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:40.899, 74, 53.73 W, 2431 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:44:41.899, 74, 47.36 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:42.900, 73, 47.39 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:43.900, 74, 47.34 W, 2431 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:44:44.901, 73, 47.34 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:45.901, 73, 47.12 W, 2431 MHz, [N/A], 95 %, [N/A]
