timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 11:46:33.970, 75, 47.44 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:34.970, 75, 47.42 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:35.970, 75, 47.42 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:36.971, 75, 47.41 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:37.971, 78, 42.74 W, 2431 MHz, [N/A], 0 %, [N/A]
2026/07/19 11:46:38.972, 74, 47.46 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:39.972, 74, 46.81 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:40.973, 74, 47.01 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:41.974, 74, 47.12 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:42.974, 74, 47.17 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:43.975, 74, 47.18 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:44.976, 74, 47.12 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:45.976, 76, 42.75 W, 2431 MHz, [N/A], 12 %, [N/A]
2026/07/19 11:46:46.977, 74, 49.53 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:47.978, 74, 46.68 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:48.978, 74, 46.89 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:49.979, 74, 46.90 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:50.979, 74, 46.45 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:51.980, 74, 46.98 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:52.980, 74, 47.01 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:53.981, 81, 37.96 W, 2418 MHz, [N/A], 0 %, [N/A]
2026/07/19 11:46:54.982, 82, 80.06 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:55.983, 81, 79.61 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:56.984, 79, 71.25 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:57.984, 79, 74.61 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:58.985, 78, 74.65 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:59.986, 78, 75.64 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:00.987, 78, 80.05 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:01.987, 78, 76.21 W, 2314 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:02.988, 79, 73.30 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:03.989, 80, 74.92 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:04.989, 83, 73.96 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:05.990, 81, 79.05 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:06.990, 81, 80.83 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:07.991, 80, 72.80 W, 2314 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:08.992, 79, 76.47 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:09.992, 80, 76.39 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:10.993, 81, 76.37 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:11.994, 80, 80.04 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:12.994, 81, 78.74 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:13.995, 81, 73.72 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:14.995, 83, 76.74 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:15.996, 77, 75.03 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:16.997, 82, 78.30 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:17.997, 81, 80.78 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:18.998, 80, 76.56 W, 2301 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:19.998, 79, 75.03 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:20.999, 81, 76.57 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:22.000, 81, 75.15 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:23.001, 81, 79.09 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:24.001, 81, 76.06 W, 2418 MHz, [N/A], 96 %, [N/A]
