timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 11:45:56.338, 76, 76.65 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:57.338, 81, 80.36 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:58.338, 77, 79.50 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:59.338, 75, 77.52 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:00.339, 78, 77.70 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:01.339, 77, 76.83 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:02.339, 81, 80.26 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:03.340, 80, 79.39 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:04.340, 81, 77.14 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:05.340, 79, 78.56 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:06.340, 79, 75.89 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:07.341, 81, 82.00 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:08.341, 81, 79.73 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:09.342, 80, 76.88 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:10.342, 77, 78.17 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:11.342, 84, 77.02 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:12.342, 79, 80.87 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:13.343, 80, 81.22 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:14.343, 83, 77.35 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:15.344, 83, 77.47 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:16.344, 80, 75.99 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:17.344, 82, 81.39 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:18.345, 81, 81.77 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:19.345, 82, 74.39 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:20.345, 82, 78.12 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:21.346, 82, 78.45 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:22.346, 78, 78.28 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:23.346, 83, 81.46 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:24.346, 83, 79.70 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:25.347, 83, 77.17 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:26.347, 80, 76.54 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:27.347, 82, 75.52 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:28.347, 78, 82.66 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:29.348, 78, 78.71 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:30.348, 74, 59.54 W, 2431 MHz, [N/A], 94 %, [N/A]
