timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 10:31:32.471, 76, 81.35 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:33.471, 77, 72.83 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:34.471, 75, 73.54 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:35.472, 76, 73.87 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:36.472, 73, 49.09 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:31:37.473, 72, 46.74 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:31:38.473, 72, 46.32 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:31:39.473, 72, 46.36 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:31:40.474, 72, 44.54 W, 2437 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:31:41.474, 67, 22.41 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:31:42.474, 70, 27.01 W, 2463 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:31:43.475, 71, 45.90 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:31:44.476, 71, 46.10 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:31:45.476, 71, 46.01 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:31:46.477, 71, 46.22 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:31:47.477, 70, 33.59 W, 2457 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:31:48.478, 71, 45.67 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:31:49.478, 70, 46.05 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:31:50.479, 71, 45.84 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:31:51.479, 71, 46.18 W, 2463 MHz, [N/A], 94 %, [N/A]
