timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 10:45:52.532, 79, 75.52 W, 2320 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:53.532, 78, 74.04 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:54.532, 79, 74.59 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:55.532, 80, 73.39 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:56.533, 80, 78.62 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:57.533, 82, 81.27 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:58.533, 79, 76.60 W, 2307 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:59.534, 80, 74.02 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:00.534, 76, 74.68 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:01.535, 81, 75.19 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:02.535, 80, 75.62 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:03.536, 82, 82.17 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:04.536, 79, 76.81 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:05.536, 79, 74.80 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:06.537, 79, 75.37 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:07.537, 75, 56.97 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:08.537, 75, 48.09 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:09.538, 75, 48.24 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:10.538, 75, 48.23 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:11.539, 75, 48.12 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:12.539, 71, 33.58 W, 2405 MHz, [N/A], 81 %, [N/A]
2026/07/19 10:46:13.540, 74, 47.66 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:14.540, 75, 47.94 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:15.541, 75, 48.10 W, 2444 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:46:16.541, 75, 48.08 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:17.541, 75, 48.16 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:18.542, 74, 33.71 W, 2424 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:19.542, 74, 47.49 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:20.543, 74, 47.96 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:21.543, 74, 47.85 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:22.544, 74, 47.98 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:23.544, 71, 42.00 W, 2437 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:24.544, 76, 38.12 W, 2418 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:25.545, 74, 42.60 W, 2444 MHz, [N/A], 82 %, [N/A]
2026/07/19 10:46:26.545, 75, 51.30 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:27.546, 75, 51.26 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:28.546, 75, 51.43 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:29.547, 75, 51.42 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:30.547, 75, 51.21 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:31.548, 75, 51.21 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:32.549, 75, 51.22 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:33.549, 75, 51.20 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:34.550, 75, 51.28 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:35.550, 75, 51.38 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:36.551, 75, 51.26 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:37.551, 74, 47.23 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:38.551, 70, 32.29 W, 2405 MHz, [N/A], 7 %, [N/A]
2026/07/19 10:46:39.552, 69, 18.57 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:40.552, 69, 23.68 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:41.553, 68, 18.02 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:42.554, 68, 17.83 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:43.555, 67, 17.68 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:44.556, 67, 17.58 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:45.556, 66, 17.51 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:46.557, 66, 17.43 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:47.557, 65, 17.48 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:48.558, 65, 17.39 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:49.558, 71, 30.39 W, 2431 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:50.559, 70, 50.01 W, 2463 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:51.559, 71, 49.74 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:52.560, 71, 50.05 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:53.560, 71, 49.94 W, 2463 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:54.561, 72, 49.86 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:55.561, 72, 50.03 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:56.562, 72, 50.00 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:57.562, 72, 50.18 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:58.563, 72, 50.10 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:59.563, 73, 50.28 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:00.563, 73, 50.28 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:01.564, 73, 50.27 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:02.565, 72, 49.70 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:47:03.565, 74, 52.53 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:47:04.566, 73, 50.92 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:47:05.566, 74, 50.73 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:47:06.567, 74, 50.79 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:07.567, 73, 50.87 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:47:08.568, 74, 50.89 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:09.569, 74, 50.68 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:47:10.569, 74, 50.80 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:47:11.569, 74, 50.87 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:12.570, 74, 50.85 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:47:13.570, 74, 50.75 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:14.571, 74, 50.75 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:15.571, 75, 50.85 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:47:16.572, 74, 48.66 W, 2450 MHz, [N/A], 96 %, [N/A]
